,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
457,UW12,UW,12,Engelberg,1402,673700,186100,46.82197,8.40447,4181,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl / c_e_neutr,c_ei,NA,c_ö,c_lang,c_nk,c_l,c_glüffe,c_gaa,c_higg
458,WS1,WS,1,Salgesch,6113,610100,128900,46.31142,7.56975,1548,c_è_neutr,c_o,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz / c_halblang / c_lang,c_Lch,c_l,c_gluffe,c_gaa,c_higg
459,WS2,WS,2,Inden,6109,613800,132600,46.34464,7.61789,106,c_e_geschl,c_o,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,c_higg
460,WS3,WS,3,Agarn,6101,617400,127200,46.29598,7.66445,718,c_ä_übof,c_o,c_i,c_ea,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_gluffe,c_gaa,c_higg
461,WS4,WS,4,Feschel,6117,617500,130400,46.32477,7.66587,414,c_ä_übof,c_o,c_i,c_ea,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
462,WS5,WS,5,Turtmann,6114,620400,127700,46.3004,7.70341,1111,c_ä_übof,c_o,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,c_higg
463,WS6,WS,6,Ferden,6195,624700,138100,46.39381,7.75977,253,c_ä_übof,NA,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_gluffe,c_gaa,c_higg
464,WS7,WS,7,Blatten,6192,629300,141100,46.42061,7.81976,290,c_ä_übof,NA,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_gluffe,c_gaa,c_higg
465,WS8,WS,8,Eischoll,6194,626300,127000,46.29389,7.77994,444,c_ä_übof,c_o,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_gluffe,c_gaa,c_higg
466,WS9,WS,9,Niedergesteln,6198,626400,129200,46.31368,7.78137,710,c_ä_übof,c_o,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_gluffe,c_gaa,c_higg
467,WS10,WS,10,Burchen,6193,630600,124300,46.26943,7.83557,730,c_ä_übof,c_o,c_i,c_e_geschl,c_e_geschl / c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang / c_lang,c_Lch,c_l,c_gluffe,c_gaa,c_higg
468,WS11,WS,11,Ausserberg,6191,631800,129300,46.31435,7.85147,626,c_ä_übof,NA,c_i,c_e_geschl,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lh,c_l,c_glüffe,c_gaa,c_higg
469,WS12,WS,12,Visp,6297,634300,126900,46.29263,7.88375,7950,c_ä_übof,c_o,c_i,c_ea,c_e_geschl,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,c_higg
